date,action,persons,sub-category,category,memo,remarks
2016-12-14,"웹개발 스터디 : 정인국, 한용재",지각생,역량강화,조직,,
2016-12-15,은평노동자컴퓨터교실 10기,,교육,지역,,
2016-12-16,본동종합사회복지관 PC정비,,SC다빈,IT인프라,,
2016-12-16,사무국 스터디 : 몬드라곤,,역량강화,조직,,
2016-12-20,협동조합지원센터 PC정비,에뭉이,PC정비,IT인프라,,
2016-12-20,신나는조합 설립인가 상담,"이광우, 지각생",설립,조직,,
2016-12-22,은평노동자컴퓨터교실 10기 졸업식,,교육,지역,,3
2016-12-23,공동육아와공동체교육,지각생,교육,홈페이지,,
2016-12-27,조합원 교육 - GA #4,,역량강화,조직,,
2016-12-28,사회적협동조합 설립인가신청서 제출,지각생,설립,조직,기획재정부 (미래부가 소관부처임을 부인하여),
2017-01-09,프렌드아시아 PC정비,에뭉이,PC정비,IT인프라,,
2017-01-10,북부고용센터 PC정비,,PC정비,IT인프라,,
2017-01-14,조합 신년회,,조합원모임,조직,,
2017-01-19,프렌드아시아 PC정비,,PC정비,IT인프라,,
2017-01-20,우렁각시 PC정비,,PC정비,IT인프라,,
2017-01-24,우렁각시 PC정비,,PC정비,IT인프라,,
2017-01-24,"웹개발 스터디 : 정인국, 한용재",지각생,역량강화,조직,,
2017-02-06,한겨레두레협동조합 PC정비,"에뭉이, 태공",PC정비,IT인프라,,
2017-02-07,건설노조 홈페이지 개편 미팅,류자현,제작,홈페이지,,
2017-02-10,우렁각시 PC정비,지각생,PC정비,IT인프라,,
2017-02-14,사업계획TF #1,,설립,조직,,
2017-02-15,"웹개발 스터디 : 정인국, 한용재",지각생,역량강화,조직,,
2017-02-15,녹색교통 모바일스킨제작 미팅(송재혁),,제작,홈페이지,"녹색교통 김광일, 퍼블리셔 송재혁",
2017-02-25,녹색교통 모바일스킨제작 미팅(송재혁),,제작,홈페이지,,
2017-03-02,비정규노동센터 PC정비,,PC정비,IT인프라,,
2017-03-02,노동건강연대 컴퓨터 기증,,운영,조직,,
2017-03-02,한겨레두레 서버 관리 미팅,,서버관리,IT인프라,,
2017-03-08,설립인가 현장실사,,설립,조직,,1
2017-03-08,전산조합(광진구) 미팅,,조직확대,조직,,
2017-03-13,1기 1차 이사회,,설립,조직,"임원 전원 참석(이사 9, 감사 2)",
2017-03-14,임시총회 공고,,설립,조직,,
2017-03-14,배리어프리영화위원회 서버 점검,,서버관리,IT인프라,,
2017-03-15,비정규노동센터 PC정비,,PC정비,IT인프라,,
2017-03-21,건설노조 홈페이지 개편 미팅,,제작,홈페이지,,
2017-03-22,임시총회,,설립,조직,설립인가 심사 기관 요청 반영 위해,
2017-03-23,"웹 개발팀 미팅 : 류자현, 정인국",,역량강화,조직,,
2017-03-27,한겨레두레 서버 이전 작업,,서버관리,IT인프라,,
2017-03-27,처음엑셀회계 1.6 문의 응대 : 남원 시민공감,,문의상담,처음엑셀회계,,
2017-04-01,"웹개발 스터디 : 정인국, 한용재",,역량강화,조직,,
2017-04-10,처음엑셀회계 2.0 미팅 : NPO지원센터 류강윤,,기획,처음엑셀회계,,
2017-04-10,한겨레두레 서버 이전 작업,,서버관리,IT인프라,,
2017-04-11,슬랙 개설 ,,설립,조직,홍영택,
2017-04-13,은평주거복지센터 PC정비,,PC정비,IT인프라,,
2017-04-13,한겨레두레 서버 작업,,서버관리,IT인프라,,
2017-04-13,노동자조합원 해커톤,,조합원모임,조직,박준성,
2017-04-14,우리동물병원생명사회적협동조합 PC정비,,PC정비,IT인프라,,
2017-04-18,설립인가신청 최종서류 발송 (미래부),,설립,조직,,
2017-04-18,건설노조 홈페이지 개편 계약,,제작,홈페이지,,
2017-04-18,디스커스 토론방(게시판) 생성,,활성화,조직,홍영택,
